idClass,idCourse,idLocation,classNumber,idInstructor
90592080,227782,1825,3HISTSCI - 3,5726469
90592110,227787,1825,03-HR-3,5726469
90592129,227790,1825,3BIB - 3,5726469
90591811,227739,1825,4LANG - 1,5762061
90591817,227740,1825,4MATH - 1,5762061
90591823,227741,1825,4READ - 1,5762061
90591829,227742,1825,4SPEL - 1,5762061
90592084,227783,1825,4SCI/HIS - 1,5762061
90592114,227788,1825,04-HR-1,5762061
90592175,227722,1825,1BIB - 4,5952024
90592176,227776,1825,1LAN - 4,5952024
90592177,227723,1825,1MATH - 4,5952024
90592178,227724,1825,1ORAL R - 4,5952024
90592179,227725,1825,1PEN - 4,5952024
90592180,227726,1825,1PHON - 4,5952024
90592181,255803,1825,1REA COM - 4,5952024
90592182,227774,1825,1SCI/HIST - 4,5952024
90761666,324008,1825,4,5952024
90591717,227722,1825,1BIB - 3,5952515
90591723,227723,1825,1MATH - 3,5952515
90591729,227724,1825,1ORAL R - 3,5952515
90591735,227725,1825,1PEN - 3,5952515
90591741,227726,1825,1PHON - 3,5952515
90592031,227774,1825,1SCI/HIST - 3,5952515
90592043,227776,1825,1LAN - 3,5952515
90592098,227785,1825,01-HR-3,5952515
90592150,255803,1825,1REA COM - 3,5952515
90761665,324008,1825,3,5952515
90591813,227739,1825,4LANG - 3,5952516
90591819,227740,1825,4MATH - 3,5952516
90591825,227741,1825,4READ - 3,5952516
90591831,227742,1825,4SPEL - 3,5952516
90592086,227783,1825,4SCI/HIS - 3,5952516
90592116,227788,1825,04-HR-3,5952516
90592238,227787,1825,03-HR-4,5952517
90592240,227790,1825,3BIB - 4,5952517
90592242,227782,1825,3HISTSCI - 4,5952517
90592243,227735,1825,3LANG - 4,5952517
90592245,227736,1825,3MATH - 4,5952517
90592248,227737,1825,3READ - 4,5952517
90592250,227738,1825,3SPEL - 4,5952517
90591992,227768,1825,1ART - 1,5952521
90591993,227768,1825,1ART - 2,5952521
90591994,227768,1825,1ART - 3,5952521
90591998,227769,1825,2ART - 1,5952521
90591999,227769,1825,2ART - 2,5952521
90592000,227769,1825,2ART - 3,5952521
90592004,227770,1825,3ART - 1,5952521
90592005,227770,1825,3ART - 2,5952521
